Dam Name,eap,status,hazard,county,lat,lng,river_stream,basin,nearest_town,distance_to_town,year,type_modify_repair,modify_year,structural_height,pool_cap,max_impound,condition,icon,last_inspection,next_inspection,owner,owner_type
PCS Phosphate R1 & R2 Blend Dike,Y,IMPOUNDING,High,Beaufort,35.3632,-76.7948,Pamlico,Tar-Pamlico,Pamlico,,1987 ,,,40.0,3000 ,16000 ,Fair,greenRound, 04/03/2001, 04/03/2002,Texasgulf Inc,Private
Martin Marietta #1 Dam,N,IMPOUNDING,High,Wake,35.89734,-78.75111,Sycamore Creek-Tr,Neuse,Raleigh,,,,,30.0,40 ,59 ,Satisfactory,greenRound, 05/13/2004, 05/13/2006,"Martin Marietta Materials, Inc.",Private
Loch Drive Dam,N,IMPOUNDING,High,Forsyth,36.1429,-80.3061,,Yadkin-PeeDee,Winston-Salem,,,,,15.0,7 ,10 ,Not recorded,blueRound, 02/16/2005, 02/03/9999,Deanna Moss,Private
Rose'S Warehouse Dam,N,IMPOUNDING,High,Vance,36.28417,-78.40222,Martin Creek-Os,Tar-Pamlico,,,,,,20.0,,30 ,Fair,greenRound, 01/19/2006, 01/19/2008,"Rose'S, Inc.",Private
Hogan Farms Dam,Y,IMPOUNDING,High,Orange,35.949,-79.1,Bolin Creek,Cape Fear,Chapel Hill,4 ,1929 ,,,18.0,51 ,160 ,Satisfactory,greenRound, 03/07/2007, 03/07/2009,Lake Hogan Farm Home Owners Association,Private
University Lake Dam,N,IMPOUNDING,High,Orange,35.897,-79.092,Morgan Creek,Cape Fear,Carrboro,1 ,1932 ,,,38.9,4030 ,4836 ,Satisfactory,greenRound, 04/18/2007, 04/18/2009,Owasa,Local government
Spring Valley Dam,N,IMPOUNDING,High,Orange,35.92972,-79.08111,Bolin Creek-Tr,Cape Fear,,,1985 ,,,26.0,12 ,22 ,Satisfactory,greenRound, 04/18/2007, 04/18/2009,Spring Valley Homeowners Association,Private
Colony Lake,N,IMPOUNDING,High,Orange,35.93722,-79.00806,Little Creek-Tr,Cape Fear,,,1988 ,,,26.0,,48 ,Satisfactory,greenRound, 04/18/2007, 04/18/2009,Landwright Corp,Private
Lake Ellen Dam,Y,IMPOUNDING,High,Orange,35.946,-79.053,Booker Creek,Cape Fear,Chapel Hill,,,,,28.0,,120 ,Fair,greenRound, 04/18/2007, 04/18/2009,,Unknown
Lewis Dam,N,IMPOUNDING,High,Wake,36.00722,-78.54083,Horse Creek-Tr,Neuse,Wake Forest,,,,,20.0,,80 ,Fair,greenRound, 04/30/2008, 04/30/2009,"Wentworth Park, Inc.",Private
