,,,,,,,,,,,
dam_name,nidid,inspection_date,owner_typ,river,city,county,longitude,latitude,inspection_frequency,year_completed,year_modified
Siler City Country Club Dam,NC01601,1/31/12,Private,Loves Creek-Tr,Siler City,Chatham,-79.47,35.701,5,not available,not available
Gilliam Lake Dam,NC01172,7/12/13,Private,Cape Fear River-Os,Riegelwood,Bladen,-78.438,34.5014,5,1949,not available
Blackhawk Dam,NC01451,3/14/13,Private,Crabtree Creek-Tr,Cary,Wake,-78.788,35.8172,2,not available,not available
Durham Lake Dam,NC01646,10/9/14,Private,Mill Creek-Tr,West Bend,Forsyth,-80.437,36.108,5,not available,not available
Wilson Lake Dam,NC01125,2/17/09,Private,Cape Fear River-Os,Elizabethtown,Cumberland,-78.88,35.005,5,1954,not available
Beaverdam Creek Lake Dam,NC01445,3/7/00,State,Beaverdam Creek,Falls,Wake,-78.688,36.025,5,1974,not available
Leggett Pond Dam,NC01409,1/13/05,Private,Mill Branch-Tr,Williamston,Martin,-77.082,35.867,5,1958,not available
Leatherman Lake Dam,NC01319,3/10/15,Private,Pott Creek-Tr,Lincolnton,Catawba,-81.3613,35.5875,2,1967,not available
Maxwell Mill Pond,NC01156,10/6/15,Private,Maxwell Creek,Pink Hill,Duplin,-77.7877,35.07,5,not available,not available
Pate Lake Dam #2,NC01180,10/24/13,Private,Joes Creek,Crossway,Richmond,-79.637,34.854,5,1974,not available
Echo Lake Dam,NC01309,3/4/15,Private,Shaw Creek-Tr,Horse Shoe,Henderson,-82.503,35.3145,2,not available,not available
Colonial Lake Dam Upper,NC01529,1/10/14,Private,East Fork Deep River-Tr,Jamestown,Guilford,-79.9361,36.0694,5,not available,2003
Moravian Camp Lake Dam,NC01404,10/17/12,Private,Peak Creek,Transou,Ashe,-81.263,36.369,5,1958,not available
K & W Lake Dam,NC01535,10/6/15,Private,Muddy Creek-Tr,Winston-Salem,Forsyth,-80.3311,36.1738,2,not available,not available
Shuford Mills Dam,NC01323,10/16/15,Private,Henry Fork River,Brookford,Catawba,-81.3475,35.7013,5,not available,not available
Hawks Lake Dam,NC01477,11/6/14,Private,Jackson Creek-Tr,White Plains,Surry,-80.663,36.428,5,not available,not available
North Lake Dam,NC01108,1/24/13,Private,Allen Creek,Orton,Brunswick,-78.053,34.043,5,1964,not available
Fleetwood Falls Lake Dam,NC01405,11/5/14,Private,South Fork New River-Tr,not available,Ashe,-81.5447,36.2994,2,not available,not available
Crabtree Crk. W/S Structure #2,NC01450,3/31/04,Local Government,Crabtree Creek-Tr,Morrisville,Wake,-78.855,35.817,5,1972,not available
Wood Lake Dam,NC01118,7/9/12,Private,Buffalo Meadows Creek,Linden,Harnett,-78.845,35.27,5,1955,not available
Messinger Lake Dam,NC01626,11/14/13,Private,Grants Creek-Os,Yadkin,Rowan,-80.42,35.7116,5,1978,not available
Rosasco Lake Dam Upper,NC01569,10/21/14,Private,Bairds Cr.-Tr,Elizabethton Tn,Watauga,-81.776,36.2204,2,not available,2008
Emerson Lake Dam,NC01660,4/18/13,Private,Coddle Creek-Os,Roberta Mill,Cabarrus,-80.737,35.49,5,not available,not available
Deater Lake,NC01472,1/8/14,Private,Bussels Creek-Tr,Eagle Mills,Wilkes,-81.04,36.057,5,not available,not available
Cantrell Lake Dam,NC01372,2/12/13,Private,Dunns Creek,Dunns Rock,Transylvania,-82.7272,35.1766,5,1960,not available
Gaither Lake Dam,NC01316,10/22/13,Private,Clark Creek-Tr,Newton,Catawba,-81.2619,35.6747,5,1974,not available
Bunch Pond Dam,NC04142,2/21/13,Private,Gum Swamp Creek-Os,Laurel Hill,Scotland,-79.536,34.854,5,not available,not available
Vernon Lake Dam,NC04204,1/6/15,Private,Big Beaver Island Creek-Tr,Madison,Stokes,-80.04,36.493,5,not available,not available
Linda Lake Dam,NC03403,12/2/14,Private,Reedy Creek-Tr,Charlotte,Mecklenburg,-80.7288,35.2447,2,not available,not available
Ollie Neal Dam,NC03903,3/13/14,Private,Jacobs Creek-Tr,Eden,Rockingham,-79.937,36.299,5,not available,not available
Cobb Lake Dam,NC03353,2/24/14,Private,Matlock Creek,Snow Hill,Macon,-83.402,35.2836,2,not available,not available
Beverly Crest Dam,NC03486,12/16/14,Private,Mcalpine Creek-Tr,Charlotte,Mecklenburg,-80.7744,35.11,2,not available,1992
Mckeithan Lake Dam,NC03563,3/12/14,Private,Drowning Ck-Tr,Pinebluff,Moore,-79.561,35.099,2,not available,9999
W. Reynolds Dam,NC04291,1/22/15,Private,Long Creek,Devotion,Surry,-80.932,36.442,2,not available,not available
Moody Pond Dam,NC03402,11/20/14,Private,Coffey Creek-Tr,not available,Mecklenburg,-80.9414,35.1534,2,not available,1999
Lakeview Acres Dam,NC04242,2/5/15,Private,Muddy Creek-Tr,Rural Hall,Stokes,-80.32,36.2638,2,not available,not available
Connelly Dam,NC03184,6/27/12,Private,Horsepasture River-Tr,Fairfield Development,Jackson,-83.1,35.122,2,not available,not available
Clearwater Lake Dam At Runaway Bay,NC03462,12/3/14,Private,Mcalpine Creek-Tr,Charlotte,Mecklenburg,-80.7425,35.1577,2,1984,2001
Rocky Knob Dam,NC03358,8/5/14,Private,Watkins Creek-Tr,Scaly Mountain,Macon,-83.3003,35.0084,2,1988,not available
Tilley Dam,NC04218,2/12/13,Private,Big Creek-Tr,Danbury,Stokes,-80.4119,36.4647,5,not available,not available
Rockingham Fishing Club Lake Dam,NC03871,12/10/14,Private,Hogans Creek-Tr,Lawsonville,Rockingham,-79.546,36.346,5,1939,not available
Lake Johnston Dam,NC04143,4/19/12,Private,Hills Creek,not available,Scotland,-79.437,34.966,5,1980,not available
J. L. Fennell Dam,NC03344,3/14/13,Private,Younce Creek,Fontana Lake,Macon,-83.4955,35.2336,5,not available,not available
Spring Valley Lake Dam,NC03440,10/22/15,Private,Lake Wiley-Os,Charlotte,Mecklenburg,-81.025,35.1241,5,not available,not available
Matthews Dam,NC04141,10/24/13,Private,Hicks Branch,Turkey,Sampson,-78.1644,35.0044,5,1987,not available
Bonner Lake Dam,NC03883,7/15/13,Private,Troublesome Creek-Tr,Altamahaw,Rockingham,-79.7897,36.3036,5,1981,not available
Mccollum Dam,NC03929,not available,Private,Tr- Jacobs Creek,Eden,Rockingham,-79.8455,36.3398,5,1980,not available
Adventure Trek Camp Dam,NC03194,1/20/11,Private,Grassy Camp Creek-Tr,Glenville,Jackson,-83.1508,35.1394,5,not available,not available
Lewis Dam,NC04356,5/7/15,Private,Osborne Branch,Mills River,Transylvania,-82.6688,35.3152,2,not available,not available
Starling Dam,NC03338,2/24/14,Private,Rocky Branch-Tr,Iotla,Macon,-83.4038,35.2086,5,1955,not available
Pinehurst National-Dam #1,NC03599,8/18/15,Private,Aberdeen Creek-Tr,Aberdeen,Moore,-79.4436,35.1886,2,1989,not available
Britt Lake Dam,NC01193,1/8/09,Private,Western Prong Creek,Mount Olive,Columbus,-78.7858,34.4005,5,1968,not available
Brock Millpond Dam,NC01105,2/12/13,Local Government,Crooked Run,Trenton,Jones,-77.356,35.06,2,1738,9999
Fagg Lake Dam -Formerly Lovell,NC01590,11/20/13,Private,Martin Mill Lake-Tr,Kernersville,Forsyth,-80.139,36.131,5,not available,not available
Springdale Estates Lower Dam,NC01633,12/1/98,Private,Hare Snipe Creek,Raleigh,Wake,-78.711,35.896,5,not available,not available
Grandfather Mountain Club Lake Dam,NC01245,5/14/15,Private,Grandmother Creek,Linville,Avery,-81.845,36.0725,2,not available,not available
Burningtown Lake Dam,NC01614,2/24/14,Private,Daves Creek,Stiles,Macon,-83.4854,35.2418,2,1970,not available
Hillsdale Farm Dam,NC02924,12/4/14,Private,Reedy Fork Creek-Tr,Ossipee,Guilford,-79.848,36.189,5,1926,not available
Moose Lodge Dam,NC02159,1/15/09,Private,Blounts Creek,Fayetteville,Cumberland,-78.909,35.029,2,not available,1994
Christ School Lake Dam,NC01889,2/14/13,Private,Roberson Creek-Trib,Fletcher,Buncombe,-82.4885,35.471,5,not available,not available
Elida Home Lake Dam,NC01896,6/12/07,Private,S Mill Creek-Tr,not available,Buncombe,-82.6132,35.5978,2,not available,not available
Crusher Cove Dam,NC02647,5/7/13,Private,Snowbird Creek-Trib,Santeetlah,Graham,-83.9605,35.2284,5,1985,not available
Goodman Pond Dam,NC01944,1/5/15,Private,Irish Creek-Tr,not available,Burke,-81.7641,35.8035,5,not available,not available
Whiteside Dam Upper,NC01718,10/15/15,Private,Crowder Creek-Tr,South Gastonia,Gaston,-81.259,35.245,5,1959,not available
Forest Lake Dam,NC01691,1/8/15,Private,Mcalpine Creek-Tr,Charlotte,Mecklenburg,-80.719,35.205,2,not available,not available
Woodview Lake Dam-Lower,NC02457,10/22/15,Private,Mill Creek #3-Tr,Bethania,Forsyth,-80.347,36.191,2,not available,not available
Jacobs Pond Dam,NC02614,1/14/15,Private,Long Creek-Tr,Bessemer City,Gaston,-81.2489,35.314,2,not available,2002
Satterfield Dam #1,NC02475,1/30/13,Private,Yadkin River-Tr,not available,Forsyth,-80.4416,36.1333,5,1983,not available
Deep River Pointe-Lower Dam,NC02803,2/18/14,Local Government,East Fork Deep River-Tr,High Point,Guilford,-79.9669,36.0361,2,not available,not available
Mclawhorn Pond Dam,NC02126,2/5/08,Private,Trent River-Tr,Trentwoods,Craven,-77.1803,35.0616,5,1975,not available
Mallard Dam,NC02842,12/18/14,Private,Richland Creek-Tr,not available,Guilford,-79.829,36.139,2,not available,not available
Brushy Creek Dam 6A,NC01867,3/15/01,Private,North Toe River-Tr,Spruce Pine,Avery,-81.9974,35.9433,2,not available,not available
Roddy Dam,NC01936,2/25/15,Private,Reems Creek-Tr,Alexander,Buncombe,-82.5901,35.6984,2,not available,not available
Holcombe Dam,NC01904,3/25/15,Private,Flat Creek-Tr,Marshall,Buncombe,-82.55,35.7525,2,1957,not available
Walters Lake Dam,NC01915,10/25/07,Private,Upper Flat Creek-Trib,Bat Cave,Buncombe,-82.3356,35.5337,2,not available,not available
Martin Dam,NC01698,2/12/15,Private,Fifth Creek-Tr,Cool Springs,Iredell,-80.8541,35.8619,2,1930,1998
